total_calls,total_time,total_time/total_calls,primitive_calls,cumulative_time,cumulative_time/primitive_calls,filename:lineno(function)
237,0.001,0.000,237,0.003,0.000,typing.py:1016(__init__)
2466,0.001,0.000,2466,0.004,0.000,__init__.py:2077(<genexpr>)
1430,0.001,0.000,1430,0.001,0.000,__init__.py:2831(__getattr__)
3024,0.001,0.000,3024,0.001,0.000,util.py:185(is_consecutive)
17,0.001,0.000,17,0.001,0.000,{built-in method builtins.eval}
3652,0.001,0.000,3652,0.001,0.000,version.py:301(<genexpr>)
844,0.001,0.000,844,0.001,0.000,posixpath.py:140(basename)
581,0.001,0.000,581,0.003,0.000,__init__.py:1502(_validate_resource_path)
1954,0.001,0.000,1954,0.001,0.000,typing.py:935(_is_dunder)
581,0.001,0.000,581,0.005,0.000,__init__.py:1496(_fn)
705,0.001,0.000,705,0.001,0.000,{built-in method _thread.allocate_lock}
2375,0.001,0.000,2375,0.098,0.000,field_elements.py:129(__truediv__)
2583,0.001,0.000,2583,0.001,0.000,field_elements.py:160(__eq__)
5109,0.001,0.000,5109,0.001,0.000,__init__.py:2379(_normalize_cached)
17,0.000,0.000,17,0.001,0.000,__init__.py:328(namedtuple)
377,0.000,0.000,377,0.000,0.000,{method '__exit__' of '_io._IOBase' objects}
22,0.000,0.000,22,0.095,0.004,__init__.py:609(add_entry)
584,0.000,0.000,584,0.001,0.000,inspect.py:2636(__init__)
5098,0.000,0.000,5098,0.000,0.000,version.py:459(<lambda>)
3473,0.000,0.000,3473,0.000,0.000,{method 'rpartition' of 'str' objects}
312,0.000,0.000,312,0.001,0.000,inspect.py:2919(__init__)
405,0.000,0.000,405,0.043,0.000,__init__.py:2795(activate)
284,0.000,0.000,284,0.002,0.000,overrides.py:88(verify_matching_signatures)
314,0.000,0.000,314,0.004,0.000,overrides.py:170(decorator)
1002,0.000,0.000,1002,0.000,0.000,{method 'match' of 're.Pattern' objects}
4361,0.000,0.000,4361,0.000,0.000,version.py:432(_parse_local_version)
556,0.000,0.000,556,0.001,0.000,<frozen importlib._bootstrap_external>:132(_path_split)
12,0.000,0.000,12,0.082,0.007,polynomial.py:138(interpolate)
278,0.000,0.000,278,0.004,0.000,<frozen importlib._bootstrap_external>:1070(get_data)
11,0.000,0.000,11,0.001,0.000,enum.py:180(__new__)
258,0.000,0.000,23,0.722,0.031,<frozen importlib._bootstrap>:1053(_handle_fromlist)
28,0.000,0.000,28,0.001,0.000,inspect.py:744(cleandoc)
278,0.000,0.000,278,0.012,0.000,<frozen importlib._bootstrap_external>:670(_compile_bytecode)
635,0.000,0.000,635,0.002,0.000,<frozen importlib._bootstrap_external>:1531(_get_spec)
849,0.000,0.000,849,0.002,0.000,re.py:202(sub)
256,0.000,0.000,256,0.001,0.000,polynomial.py:103(<listcomp>)
444,0.000,0.000,444,0.001,0.000,copy.py:259(_reconstruct)
2210,0.000,0.000,2210,0.001,0.000,sre_parse.py:250(match)
618,0.000,0.000,618,0.002,0.000,_inspect.py:96(getargspec)
834,0.000,0.000,834,0.001,0.000,<frozen importlib._bootstrap_external>:84(_unpack_uint32)
780,0.000,0.000,780,0.002,0.000,enum.py:359(__call__)
4003,0.000,0.000,4003,0.000,0.000,{method 'get' of 'dict' objects}
329,0.000,0.000,303,0.037,0.000,<frozen importlib._bootstrap>:564(module_from_spec)
194,0.000,0.000,4,0.007,0.002,core.py:776(_parseNoCache)
278,0.000,0.000,4,1.107,0.277,<frozen importlib._bootstrap_external>:877(exec_module)
772,0.000,0.000,772,0.000,0.000,{method 'format' of 'str' objects}
99,0.000,0.000,99,0.000,0.000,{built-in method io.open}
256,0.000,0.000,256,0.001,0.000,polynomial.py:61(<listcomp>)
45,0.000,0.000,6,0.002,0.000,core.py:3816(streamline)
689,0.000,0.000,643,0.006,0.000,typing.py:306(inner)
313,0.000,0.000,313,0.001,0.000,__init__.py:2335(file_ns_handler)
60,0.000,0.000,60,0.001,0.000,field_elements.py:202(__init__)
2,0.000,0.000,2,0.000,0.000,{method 'readlines' of '_io._IOBase' objects}
497,0.000,0.000,497,0.017,0.000,polynomial.py:59(__sub__)
608,0.000,0.000,608,0.001,0.000,posixpath.py:60(isabs)
406,0.000,0.000,15,0.722,0.048,{built-in method builtins.__import__}
1330,0.000,0.000,1330,0.000,0.000,sre_parse.py:173(append)
2579,0.000,0.000,2579,0.000,0.000,{built-in method builtins.min}
1,0.000,0.000,1,0.000,0.000,helpers.py:692(<dictcomp>)
1842,0.000,0.000,1842,0.000,0.000,sre_parse.py:161(__len__)
314,0.000,0.000,314,0.001,0.000,function_base.py:475(add_newdoc)
278,0.000,0.000,278,0.001,0.000,<frozen importlib._bootstrap_external>:585(_classify_pyc)
444,0.000,0.000,444,0.002,0.000,core.py:499(copy)
876,0.000,0.000,876,0.002,0.000,<frozen importlib._bootstrap_external>:164(_path_isdir)
237,0.000,0.000,237,0.000,0.000,typing.py:206(_collect_type_vars)
279,0.000,0.000,1,5.694,5.694,{built-in method builtins.exec}
54,0.000,0.000,54,0.027,0.000,{built-in method builtins.pow}
6,0.000,0.000,6,0.006,0.001,optimized_field_elements.py:354(inv)
751,0.000,0.000,751,0.001,0.000,<frozen importlib._bootstrap_external>:1356(_path_importer_cache)
335,0.000,0.000,335,0.000,0.000,__init__.py:3161(_find_adapter)
1,0.000,0.000,1,0.000,0.000,entities.py:1(<module>)
486,0.000,0.000,486,0.006,0.000,__init__.py:1420(has_metadata)
312,0.000,0.000,312,0.000,0.000,inspect.py:66(get_annotations)
1361,0.000,0.000,1361,0.000,0.000,<frozen importlib._bootstrap>:897(__exit__)
115,0.000,0.000,115,0.000,0.000,{built-in method _abc._abc_init}
2,0.000,0.000,2,0.169,0.084,babysnark.py:112(generate_solved_instance)
312,0.000,0.000,312,0.007,0.000,_signatures.py:625(expand_sig)
18,0.000,0.000,18,0.000,0.000,arrayprint.py:1568(_guarded_repr_or_str)
351,0.000,0.000,351,0.000,0.000,<frozen importlib._bootstrap>:198(cb)
405,0.000,0.000,405,0.001,0.000,utils.py:32(canonicalize_name)
845,0.000,0.000,845,0.002,0.000,__init__.py:1328(safe_name)
600,0.000,0.000,600,0.002,0.000,<frozen importlib._bootstrap>:391(cached)
893,0.000,0.000,893,0.000,0.000,sre_parse.py:112(__init__)
1454,0.000,0.000,1454,0.000,0.000,polynomial.py:58(__len__)
122,0.000,0.000,122,0.000,0.000,{built-in method numpy.array}
1164,0.000,0.000,1164,0.000,0.000,sre_parse.py:287(tell)
322,0.000,0.000,322,0.002,0.000,<frozen importlib._bootstrap_external>:510(_get_cached)
1361,0.000,0.000,1361,0.000,0.000,<frozen importlib._bootstrap>:893(__enter__)
1709,0.000,0.000,1709,0.002,0.000,{built-in method _abc._abc_instancecheck}
2844,0.000,0.000,2844,0.000,0.000,{built-in method _imp.acquire_lock}
2156,0.000,0.000,2156,0.000,0.000,{built-in method builtins.setattr}
316,0.000,0.000,316,0.000,0.000,sre_compile.py:265(_compile_charset)
2,0.000,0.000,2,0.007,0.004,_signatures.py:662(create_signature_registry)
769,0.000,0.000,769,0.001,0.000,{built-in method builtins.max}
472,0.000,0.000,472,0.020,0.000,modp.py:53(inverse)
79,0.000,0.000,79,0.001,0.000,sre_compile.py:560(_compile_info)
648,0.000,0.000,648,0.001,0.000,{built-in method builtins.any}
89,0.000,0.000,5,0.002,0.000,core.py:3675(streamline)
351,0.000,0.000,351,0.001,0.000,<frozen importlib._bootstrap>:71(__init__)
143,0.000,0.000,143,0.001,0.000,enum.py:89(__setitem__)
101,0.000,0.000,101,0.000,0.000,{method 'decode' of 'bytes' objects}
2844,0.000,0.000,2844,0.000,0.000,{built-in method _imp.release_lock}
679,0.000,0.000,679,0.000,0.000,<frozen importlib._bootstrap>:404(parent)
365,0.000,0.000,365,0.001,0.000,<frozen importlib._bootstrap>:216(_lock_unlock_module)
472,0.000,0.000,472,0.021,0.000,numbertype.py:112(__truediv__)
79,0.000,0.000,79,0.025,0.000,sre_compile.py:783(compile)
1,0.000,0.000,1,0.000,0.000,selectors.py:443(EpollSelector)
3,0.000,0.000,3,0.008,0.003,core.py:1(<module>)
1709,0.000,0.000,1709,0.002,0.000,abc.py:117(__instancecheck__)
1112,0.000,0.000,1112,0.000,0.000,<frozen importlib._bootstrap_external>:134(<genexpr>)
706,0.000,0.000,706,0.000,0.000,_signatures.py:601(<genexpr>)
1227,0.000,0.000,1227,0.000,0.000,pkgutil.py:407(get_importer)
4622,0.000,0.000,4622,0.000,0.000,{built-in method builtins.ord}
278,0.000,0.000,278,0.001,0.000,<frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
486,0.000,0.000,486,0.001,0.000,genericpath.py:16(exists)
339,0.000,0.000,339,0.000,0.000,__init__.py:89(find_spec)
1768,0.000,0.000,1768,0.000,0.000,{method 'setdefault' of 'dict' objects}
406,0.000,0.000,406,0.043,0.000,__init__.py:3285(<genexpr>)
855,0.000,0.000,855,0.000,0.000,{method 'update' of 'dict' objects}
85,0.000,0.000,85,0.002,0.000,typing.py:483(Union)
31,0.000,0.000,21,0.001,0.000,typing.py:1046(__getitem__)
312,0.000,0.000,312,0.000,0.000,inspect.py:612(unwrap)
350,0.000,0.000,350,0.002,0.000,<frozen importlib._bootstrap>:169(__enter__)
2340,0.000,0.000,2340,0.000,0.000,{built-in method _stat.S_ISDIR}
80,0.000,0.000,80,0.001,0.000,core.py:3783(__init__)
337,0.000,0.000,337,0.013,0.000,<frozen importlib._bootstrap_external>:1431(find_spec)
256,0.000,0.000,256,0.002,0.000,polynomial.py:61(__neg__)
79,0.000,0.000,79,0.016,0.000,sre_parse.py:944(parse)
1480,0.000,0.000,1480,0.000,0.000,polynomial.py:47(isZero)
581,0.000,0.000,581,0.005,0.000,__init__.py:1417(_get_metadata_path)
278,0.000,0.000,278,0.000,0.000,{built-in method _imp._fix_co_filename}
1260,0.000,0.000,1260,0.000,0.000,{method 'replace' of 'str' objects}
842,0.000,0.000,842,0.000,0.000,__init__.py:1953(__init__)
281,0.000,0.000,281,0.001,0.000,_signatures.py:599(num_pos_args)
129,0.000,0.000,129,0.001,0.000,core.py:3601(__init__)
312,0.000,0.000,312,0.000,0.000,_signatures.py:606(get_exclude_keywords)
679,0.000,0.000,679,0.000,0.000,<frozen importlib._bootstrap_external>:180(_path_isabs)
278,0.000,0.000,278,0.000,0.000,<frozen importlib._bootstrap_external>:542(_check_name_wrapper)
1545,0.000,0.000,180,0.002,0.000,abc.py:121(__subclasscheck__)
1861,0.000,0.000,1861,0.000,0.000,<frozen importlib._bootstrap_external>:71(_relax_case)
444,0.000,0.000,444,0.000,0.000,{method '__reduce_ex__' of 'object' objects}
7,0.000,0.000,7,0.001,0.000,enum.py:553(<listcomp>)
452,0.000,0.000,4,1.107,0.277,<frozen importlib._bootstrap>:233(_call_with_frames_removed)
486,0.000,0.000,486,0.001,0.000,__init__.py:1622(_has)
896,0.000,0.000,896,0.000,0.000,inspect.py:2968(<genexpr>)
598,0.000,0.000,194,0.002,0.000,core.py:1832(default_name)
1432,0.000,0.000,1432,0.000,0.000,{method '__exit__' of '_thread.lock' objects}
237,0.000,0.000,237,0.000,0.000,random.py:292(randrange)
373,0.000,0.000,373,0.000,0.000,sre_compile.py:447(_simple)
237,0.000,0.000,237,0.001,0.000,typing.py:947(__init__)
278,0.000,0.000,278,0.001,0.000,<frozen importlib._bootstrap_external>:1089(path_stats)
1032,0.000,0.000,1032,0.000,0.000,{method 'find' of 'bytearray' objects}
223,0.000,0.000,223,0.000,0.000,{built-in method fromkeys}
32,0.000,0.000,32,0.013,0.000,{built-in method _functools.reduce}
652,0.000,0.000,241,0.002,0.000,core.py:1857(name)
772,0.000,0.000,772,0.000,0.000,enum.py:678(__new__)
77,0.000,0.000,77,0.000,0.000,core.py:4349(__init__)
406,0.000,0.000,406,0.000,0.000,__init__.py:674(__iter__)
85,0.000,0.000,85,0.000,0.000,typing.py:267(_remove_dups_flatten)
2502,0.000,0.000,2502,0.000,0.000,{built-in method builtins.chr}
129,0.000,0.000,129,0.000,0.000,functoolz.py:196(__init__)
556,0.000,0.000,556,0.000,0.000,typing.py:137(_type_convert)
1451,0.000,0.000,1451,0.000,0.000,{built-in method _thread.get_ident}
118,0.000,0.000,2,0.000,0.000,arrayprint.py:789(recurser)
192,0.000,0.000,192,0.058,0.000,polynomial.py:147(lagrange)
145,0.000,0.000,145,0.000,0.000,sre_parse.py:296(_class_escape)
350,0.000,0.000,350,0.001,0.000,<frozen importlib._bootstrap>:173(__exit__)
504,0.000,0.000,504,0.000,0.000,{method 'extend' of 'list' objects}
278,0.000,0.000,278,0.000,0.000,<frozen importlib._bootstrap>:48(_new_module)
3,0.000,0.000,3,0.001,0.000,field_elements.py:291(inv)
47,0.000,0.000,47,0.000,0.000,sre_compile.py:437(<listcomp>)
